Color,Rmin,Rmax,Gmin,Gmax,Bmin,Bmax,rMin,rMax,gMin,gMax,bMin,bMax
Gray18,125,130,122,126,122,129,0.336,0.344,0.323,0.332,0.33,0.336
Gray25,104,109,89,96,80,86,0.376,0.386,0.323,0.34,0.284,0.299
Gray25,93,101,86,95,82,92,0.346,0.357,0.322,0.336,0.314,0.325
Gray20,111,119,109,118,109,116,0.329,0.341,0.328,0.337,0.323,0.34
Gray25,111,114,98,104,95,103,0.355,0.367,0.321,0.324,0.312,0.321
Gray20,120,123,112,117,108,115,0.345,0.353,0.321,0.331,0.317,0.327
Gray20,119,121,108,114,96,101,0.36,0.368,0.334,0.339,0.297,0.301
Gray20,120,124,103,107,94,98,0.376,0.384,0.319,0.329,0.295,0.298
Gray17,135,137,115,119,108,111,0.373,0.38,0.319,0.327,0.299,0.302
Gray18,132,137,121,125,111,113,0.358,0.368,0.328,0.339,0.301,0.304
Gray18,125,127,107,113,91,96,0.378,0.387,0.331,0.336,0.282,0.286
Gray25,80,83,63,67,58,63,0.384,0.398,0.308,0.319,0.289,0.3
Gray25,86,88,69,71,64,66,0.389,0.395,0.309,0.321,0.29,0.3
Gray17,143,147,127,130,119,123,0.368,0.368,0.325,0.326,0.306,0.308
Gray17,135,137,125,127,123,125,0.349,0.356,0.325,0.328,0.319,0.323
Gray16,148,150,138,140,147,149,0.341,0.42,0.317,0.32,0.338,0.342
Gray13,157,161,134,139,129,135,0.37,0.374,0.319,0.32,0.307,0.31
Gray16,143,146,124,126,114,117,0.375,0.377,0.322,0.325,0.299,0.301
Gray17,140,142,120,122,109,111,0.379,0.379,0.325,0.3325,0.295,0.296
Gray16,151,153,135,137,124,126,0.368,0.368,0.329,0.329,0.302,0.303
Gray18,120,122,98,100,87,89,0.392,0.393,0.321,0.322,0.285,0.286
Gray16,152,154,136,138,136,138,0.355,0.362,0.312,0.322,0.319,0.322
Gray16,155,157,139,141,138,140,0.356,0.362,0.32,0.323,0.318,0.321
Gray20,111,113,99,101,90,92,0.365,0.374,0.328,0.332,0.298,0.303
Gray7Red3Violet8,113,115,74,76,86,88,0.412,0.414,0.271,0.272,0.315,0.315
Gray9Red3Violet8,116,118,79,81,94,96,0.4,0.401,0.273,0.275,0.325,0.325
Gray8Red3Violet7,121,123,90,92,104,106,0.383,0.384,0.286,0.287,0.33,0.33
Gray7Pink5Red2,172,177,115,123,112,120,0.421,0.431,0.288,0.293,0.281,0.286
Gray7Pink5Red2,180,184,127,133,124,129,0.413,0.418,0.295,0.298,0.288,0.29
Gray7Pink6Red2,162,167,105,109,100,106,0.437,0.441,0.285,0.288,0.272,0.277
Gray8Pink6Red2,154,157,102,106,104,107,0.424,0.428,0.283,0.286,0.289,0.292
Gray5Pink2Red6,181,183,81,83,81,83,0.522,0.53,0.235,0.239,0.235,0.239
Gray6Pink7Red3,149,151,80,84,69,72,0.493,0.5,0.264,0.275,0.232,0.238
Gray6Pink7Red3,145,149,75,81,65,71,0.497,0.509,0.263,0.27,0.228,0.237
Gray6Red8Brown3,140,149,59,65,61,68,0.52,0.54,0.226,0.235,0.228,0.249
Gray5Red7Brown3,159,161,70,73,63,67,0.538,0.545,0.237,0.246,0.215,0.224
Gray4Red10,153,187,37,55,39,69,0.55,0.7,0.14,0.2,0.15,0.25
Gray6Red9,153,163,71,79,74,86,0.495,0.513,0.236,0.242,0.248,0.263
Gray6Red10,145,147,72,74,87,89,0.474,0.477,0.237,0.239,0.286,0.287
Gray6Red11,134,136,67,69,76,78,0.481,0.484,0.242,0.244,0.274,0.276
Gray6Red9,154,155,79,85,87,89,0.47,0.483,0.246,0.259,0.271,0.271
White1,201,211,201,211,201,211,0.32,0.34,0.32,0.34,0.32,0.34
White1,212,222,212,222,212,222,0.32,0.34,0.32,0.34,0.32,0.34
White1,223,233,223,233,223,233,0.32,0.34,0.32,0.34,0.32,0.34
White1,234,244,234,244,234,244,0.32,0.34,0.32,0.34,0.32,0.34
White1,245,255,245,255,245,255,0.32,0.34,0.32,0.34,0.32,0.34
White1,255,255,227,233,203,209,0.367,0.372,0.331,0.337,0.294,0.301
Black25,0,16,0,16,0,16,0.32,0.34,0.32,0.34,0.32,0.34
Black25,17,27,17,27,17,27,0.32,0.34,0.32,0.34,0.32,0.34
Black25,28,38,28,38,28,38,0.32,0.34,0.32,0.34,0.32,0.34
Black25,39,49,39,49,39,49,0.32,0.34,0.32,0.34,0.32,0.34
Black25,50,60,50,60,50,60,0.32,0.34,0.32,0.34,0.32,0.34
