Color,Rmin,Rmax,Gmin,Gmax,Bmin,Bmax,rMin,rMax,gMin,gMax,bMin,bMax
Gray7Pink8,166,169,119,122,110,113,0.418,0.42,0.301,0.302,0.278,0.28
Gray14Pink3,147,152,113,118,105,111,0.399,0.406,0.306,0.311,0.286,0.293
Gray15Pink1,146,149,121,127,114,119,0.377,0.383,0.317,0.322,0.299,0.304
Gray12Pink4,150,153,124,128,119,124,0.378,0.382,0.316,0.316,0.301,0.306
Gray13Pink2,156,157,114,116,100,105,0.414,0.423,0.307,0.308,0.27,0.279
Gray7Pink9,156,159,104,105,88,90,0.446,0.453,0.296,0.297,0.251,0.257
Gray6Pink9,167,171,89,93,82,87,0.485,0.496,0.262,0.265,0.242,0.25
Gray14Pink3,151,154,100,102,100,104,0.427,0.43,0.283,0.285,0.285,0.289
Gray7Pink8,159,162,111,116,107,113,0.414,0.422,0.294,0.298,0.284,0.289
Gray7Pink8,161,163,114,118,111,115,0.412,0.42,0.294,0.298,0.286,0.29
Gray7Pink8,163,166,118,123,114,118,0.408,0.416,0.297,0.302,0.287,0.29
Gray7Pink5,194,195,146,150,145,150,0.393,0.401,0.3,0.304,0.298,0.304
Gray7Pink5,198,201,157,160,155,161,0.384,0.392,0.306,0.307,0.302,0.309
Gray14Pink3,146,150,107,107,97,101,0.419,0.422,0.298,0.299,0.28,0.282
Gray14Pink2,161,163,127,129,118,120,0.396,0.397,0.313,0.313,0.291,0.291
Gray14Pink2,159,161,123,125,114,116,0.399,0.403,0.31,0.312,0.287,0.289
Gray13Pink2,166,168,129,131,123,125,0.396,0.397,0.309,0.309,0.294,0.295
Gray7Pink7,174,174,133,135,129,131,0.395,0.399,0.305,0.307,0.296,0.298
Gray7Pink7,182,185,133,137,118,123,0.416,0.42,0.307,0.308,0.273,0.276
Gray7Pink7,174,181,127,131,111,117,0.412,0.425,0.303,0.312,0.269,0.277
Gray6Pink4,208,214,168,172,150,157,0.393,0.4,0.317,0.32,0.282,0.289
Gray7Pink6,185,187,138,140,128,130,0.408,0.412,0.305,0.307,0.283,0.285
Gray7Pink7,175,178,129,136,120,126,0.403,0.413,0.304,0.31,0.283,0.288
Gray7Pink5,190,192,152,154,149,151,0.386,0.387,0.31,0.31,0.303,0.304
Gray7Pink5,195,197,157,159,154,156,0.385,0.385,0.31,0.311,0.304,0.305
Gray7Pink6,180,182,143,145,134,136,0.393,0.394,0.313,0.313,0.293,0.294
Gray7Pink7,176,178,139,141,130,132,0.395,0.396,0.312,0.313,0.292,0.293
Gray3Pink2,240,242,204,206,190,192,0.376,0.381,0.321,0.323,0.299,0.301
Gray6Pink5,196,198,155,157,140,142,0.396,0.402,0.314,0.317,0.284,0.287
Gray7Pink10,135,137,89,91,84,86,0.436,0.438,0.289,0.29,0.273,0.274
Gray5Pink7,194,196,103,105,104,106,0.479,0.486,0.256,0.259,0.258,0.262
Gray5Pink6,204,206,124,126,125,127,0.446,0.453,0.273,0.276,0.275,0.278
Gray3Pink2,239,241,173,175,172,174,0.406,0.411,0.295,0.298,0.294,0.296
Gray1Pink3,245,247,153,155,156,158,0.439,0.444,0.275,0.278,0.281,0.283
Gray4Pink4,221,223,147,149,144,146,0.428,0.434,0.286,0.289,0.28,0.283
Gray3Pink4,233,235,143,145,142,144,0.446,0.452,0.275,0.278,0.273,0.276
Gray6Pink7,184,186,116,118,103,105,0.455,0.457,0.288,0.289,0.256,0.258
Gray6Pink8,163,169,102,107,85,92,0.452,0.466,0.291,0.294,0.243,0.255
Gray5Pink8,185,187,93,95,90,92,0.497,0.505,0.251,0.255,0.243,0.247
Gray16Pink3,112,114,85,87,76,78,0.409,0.41,0.311,0.312,0.278,0.28
Gray16Pink3,120,122,92,94,83,85,0.401,0.412,0.31,0.314,0.279,0.284
Gray15Pink3,134,137,99,102,94,99,0.404,0.41,0.299,0.304,0.287,0.296
Gray16Pink1,143,145,111,113,109,111,0.39,0.397,0.304,0.308,0.299,0.302
Gray16Pink1,138,140,112,114,107,109,0.382,0.39,0.312,0.316,0.298,0.302
Gray12Pink3,165,167,138,140,137,139,0.374,0.375,0.314,0.314,0.311,0.312
Gray12Pink4,147,149,121,123,120,122,0.378,0.379,0.312,0.312,0.309,0.31
Gray15Pink2,149,151,114,116,101,103,0.408,0.409,0.313,0.314,0.277,0.278
Gray14Pink2,154,156,115,117,106,108,0.409,0.411,0.307,0.307,0.283,0.283
Gray6Pink10,151,153,86,88,74,76,0.479,0.489,0.275,0.279,0.236,0.241
Gray7Pink9,156,162,98,103,88,94,0.451,0.456,0.285,0.293,0.255,0.262
Gray6Pink9,154,156,93,95,79,81,0.47,0.472,0.285,0.286,0.242,0.244
Gray7Pink1Violet3,201,208,168,176,185,191,0.356,0.363,0.303,0.309,0.332,0.335
Gray7Pink2Violet4,178,185,136,144,154,161,0.378,0.383,0.288,0.294,0.328,0.332
Gray8Pink4Violet4,159,162,116,120,117,122,0.401,0.406,0.296,0.298,0.298,0.302
Gray8Pink2Violet4,178,188,146,155,161,171,0.366,0.373,0.295,0.302,0.331,0.335
Gray8Pink2Violet4,164,173,147,156,166,176,0.336,0.355,0.304,0.312,0.341,0.355
Gray8Pink3Violet5,160,162,119,121,127,131,0.392,0.393,0.291,0.297,0.311,0.317
Gray7Pink6Violet5,119,123,67,72,69,75,0.456,0.467,0.263,0.267,0.271,0.278
Gray7Pink5Violet6,123,126,71,74,75,77,0.451,0.459,0.263,0.269,0.276,0.28
Gray7Pink5Violet2,167,168,120,123,121,122,0.407,0.409,0.294,0.298,0.295,0.297
Gray7Pink4Violet2,166,167,120,121,123,125,0.404,0.406,0.292,0.295,0.3,0.303
Gray8Pink5Violet2,168,169,123,125,122,126,0.402,0.407,0.298,0.298,0.295,0.3
Gray8Pink4Violet3,157,159,128,130,127,132,0.377,0.381,0.309,0.31,0.308,0.314
Gray8Pink4Violet5,140,150,94,105,105,114,0.402,0.407,0.284,0.292,0.304,0.309
Gray8Pink3Violet3,172,175,144,149,149,152,0.364,0.371,0.309,0.315,0.317,0.321
Gray8Pink2Violet4,181,182,145,146,149,149,0.381,0.382,0.305,0.306,0.312,0.314
Gray8Pink4Violet3,169,171,127,130,127,130,0.396,0.4,0.298,0.304,0.297,0.305
Gray8Pink6Violet1,164,166,124,128,120,123,0.398,0.402,0.304,0.307,0.294,0.295
Gray8Pink3Violet3,175,177,140,141,139,141,0.385,0.386,0.307,0.308,0.306,0.307
Gray12Pink4Violet1,154,157,119,123,115,118,0.393,0.397,0.307,0.31,0.296,0.297
Gray12Pink4Violet1,156,160,118,123,117,120,0.397,0.399,0.302,0.305,0.297,0.299
Gray8Pink6Violet2,152,155,110,112,107,109,0.411,0.414,0.297,0.3,0.289,0.29
Gray8Pink6Violet1,168,169,138,140,132,134,0.38,0.384,0.314,0.317,0.301,0.303
Gray7Pink2Violet2,197,200,166,168,169,170,0.37,0.372,0.312,0.312,0.316,0.318
